measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
negate,No change,-0.0037733156002586685,0.06716952338742561,0.47760386865378945,0.0017425298202941738,0.0688422257986156,0.4899044599560499,0.005515845420552843,0.05975186471029407,0.4632299295447395,-0.005515845420552843,0.05975186471029407,0.4632299295447395,1.5793866743518308,446,1.5870923433425048,731,1.5932837687655819,653
verb,Mid/After > Pre,0.7340981743770305,0.26595555946567256,0.002916892288746138,0.3583265706129364,0.2727194091046245,0.094522071834787,-0.37577160376409413,0.23621441199667134,0.05591298001928235,0.37577160376409413,0.23621441199667134,0.05591298001928235,16.684006875591734,446,17.48820814043062,731,17.041739681363406,653
adj,Other/mixed,0.045597803056963565,0.1659575691627772,0.39176746527191353,-0.18252567813150086,0.16999001426111687,0.14153971908577226,-0.22812348118846443,0.14789333578405345,0.06156429105604553,0.22812348118846443,0.14789333578405345,0.06156429105604553,6.534520652211583,446,6.593168670720443,731,6.367804348548848,653
quantity,No change,-0.07392251949961612,0.14028189495285925,0.2991437291848095,-0.08650619897928327,0.14349848161194334,0.27334596346530804,-0.012583679479667154,0.12551737280141795,0.46007664561260053,0.012583679479667154,0.12551737280141795,0.46007664561260053,3.931473576791808,446,3.857003430259511,731,3.843328733602147,653
Drives,No change,0.036737955151187926,0.12606705081370453,0.3853831317518511,0.14220943747040005,0.12916743692555194,0.13552743134741846,0.10547148231921212,0.1122896637064938,0.17385547437616988,-0.10547148231921212,0.1122896637064938,0.17385547437616988,3.0609702383891695,446,3.093952390053386,731,3.1933390375020427,653
affiliation,Mid/After > Pre,0.10135404169065612,0.07525283160237531,0.0890982954287232,0.13428613007260842,0.07702490815571825,0.04071496410756452,0.0329320883819523,0.06720158234185963,0.31207892657882674,-0.0329320883819523,0.06720158234185963,0.31207892657882674,1.2064668786407513,446,1.3103229698115433,731,1.3391373806852795,653
achieve,Other/mixed,-0.06613997912957935,0.07992986163680528,0.20403791615322697,0.026179075986965592,0.0819857839791841,0.37476307450664903,0.09231905511654494,0.07098674242119343,0.096794915527459,-0.09231905511654494,0.07098674242119343,0.096794915527459,1.1435237788668127,446,1.0628305139801626,731,1.1540900519502497,653
power,No change,-0.0018369045959087899,0.0682603668612996,0.489267122353135,-0.007741692316035184,0.06991994123941246,0.4559243864448256,-0.005904787720126394,0.060826336577162826,0.46133827677792766,0.005904787720126394,0.060826336577162826,0.46133827677792766,0.7625674493713115,446,0.7591886955060169,731,0.7553692437343316,653
Cognition,Other/mixed,0.6893403259262125,0.3177913911653903,0.015099569380493888,-0.16157241545623352,0.32556179928676626,0.30987546468240457,-0.850912741382446,0.282314634871222,0.001306626528673684,0.850912741382446,0.282314634871222,0.001306626528673684,22.532268696143255,446,23.326553766986997,731,22.421921745945927,653
allnone,Other/mixed,-0.055117097881342184,0.08105674162740781,0.24830111066385502,-0.14929684245137087,0.08293033618412819,0.035991599975432303,-0.09417974457002869,0.07246770737784407,0.09694934211269884,0.09417974457002869,0.07246770737784407,0.09694934211269884,1.3042265733078,446,1.2480877912230617,731,1.1543612440289883,653
